Raw data

Sample	d13C	d15N
AH11	-7.2	8.9
AH12	-8	8.3
AH13	-8.5	7.9
AH14	-7.4	8.7
AH15	-8.4	8.5
AH16	-9	10.4
AH17	-7.5	10
AH18	-8.7	9.4
AH19	-7	7.9
AH20	-7.3	8
AH21	-7.6	9.8
AH22	-7.8	8.8
AH23	-7.2	7.7
AH24	-6.8	8.4
AH25	-7.9	10.2
AH26	-11.5	9.3
AH27	-8.3	10.3
AH28	-7.7	9.1
AH29	-7.4	9.2
AH30	-8.6	10.6
AH31	-8	6.7
AH32	-9.5	9.4
AH33	-7.4	9.9
AH34	-7.8	9
AH35	-9.5	9.3
AH36	-7.4	9.6
AH37	-8.6	8.9
AH38	-8.3	7.5
AH39	-7.6	9
AH40	-16.8	3.2
AH41	-7.2	8.6
AH42	-7.9	9.8
AH43	-9.4	11
AH44	-7.5	10.3
AH45	-7.1	9.6
AH46	-11.8	9.4
AH47	-10.4	9.4
AH48	-7.4	9.5
AH49	-7.3	10
AH50	-8.1	8.7
AH51	-7.2	10
AH52	-8.3	8.9
AH53	-8	9.4
AH54	-7.4	10.5
AH55	-7.9	10.6
AH56	-7.4	7.9
AH57	-15.7	4.8
AH58	-9.1	7.8
AH59	-8.2	10
AH60	-7.5	8.7
AH61	-7.2	8.4
AH62	-7	6.2
AH63	-7.7	9.2
AH64	-7.5	7.7
AH65	-8	10.7
AH66	-6.6	6.5
AH67	-6.7	9.2
AH68	-7.4	9.7
AH69	-8	11
AH70	-8.7	10.4
AH71	-7.9	10.7
AH72	-8.5	11.1
AH73	-7.9	9.6
AH74	-7.6	7.3
AH75	-6.7	8.8
AH76	-7.1	9.2
AH77	-7.4	10.6
AH78	-8	9.8
AH79	-7	9.1
AH80	-6.7	8.6
AH81	-7.4	9.9
AH82	-8.2	10.7
AH83	-8.4	8.7
AH84	-16.2	6.2
AH85	-8	11
AH86	-7.4	8.3
AH87	-8.1	7.7
AH88	-7.8	7
AH89	-8.4	11.1
AH90	-7.1	8.5
