Taxon,1300-1315,1315-1330,1330-1340,1340-1355,1355-1365,1365-1370,1380-1410,1410-1425
Osteichthyes,0,0,1,2,0,0,0,1
Anuran,0,0,0,0,0,0,0,0
Scaphiopus sp. ,0,0,0,0,0,0,0,0
Bufo spp. ,0,0,0,4,0,0,0,1
Chrysemys cf. picta,0,0,0,0,0,0,0,0
Terrapene cf. ornata,0,0,1,0,0,0,0,0
Testudinidae,0,0,3,0,2,0,0,3
Serpentes,1,1,0,0,0,0,0,1
Serpentes or Sauria,0,0,1,0,0,0,0,0
Crotaphytus cf. collaris,0,0,0,0,0,0,0,2
Phrynosoma douglassi,0,0,0,0,0,2,0,1
Phrynosoma cf. sp. ,0,0,0,0,1,0,0,0
Sauria ,0,0,0,0,0,0,0,0
?Gavia sp. ,0,0,1,0,0,0,0,0
Branta cf. canadensis,0,0,0,0,0,1,1,0
Anserinae,0,13,0,2,5,1,0,1
Anas cf. acuta,0,0,0,0,1,0,0,0
Mergus cf. merganser,0,0,0,0,0,0,0,1
Anatinae/Aythuinae/Merginae,0,0,0,1,0,0,2,3
Cathartes aura,0,0,0,2,103,0,0,0
Accipiter striatus,0,1,0,0,0,0,1,0
Accipiter cooperi,0,1,1,2,0,16,1,6
Buteo jamaicensis ,0,0,0,3,1,1,0,2
Buteo cf. swainsoni,0,0,0,0,1,2,2,0
Buteo cf. regalis,0,0,0,1,0,0,0,0
Buteo spp. ,0,0,2,3,0,1,3,4
Accipitridae,1,1,3,1,0,5,7,8
Cathartidae or Accipitridae,0,0,0,3,0,0,0,0
Aquila chrysaetos,0,0,2,0,0,0,0,0
A. chrysaetos/Haliaeetus leucocephalus,0,0,3,0,0,0,0,1
Circus cf. cyaneus,0,0,0,0,0,0,1,4
Falco mexicanus ,0,0,0,0,0,0,0,1
?Falco columbarius ,0,0,0,0,0,1,0,0
Falco sparverius,0,0,2,5,2,161,0,5
Falconiformes,0,0,1,0,0,2,0,3
Dendragapus cf. obscurus ,1,1,6,5,0,5,2,6
Dendragapus cf. sp. ,0,0,1,0,1,6,0,1
Meleagris gallopavo,51,202,186,317,83,92,51,152
Grus canadensis ,0,0,0,0,0,0,0,0
Fulica cf. americana,0,0,1,1,0,0,0,0
?Charadrius vociferus,0,0,0,0,0,0,1,0
Numenius cf. americanus,0,0,4,0,0,0,0,0
Columba cf. fasciata,0,0,0,0,1,0,0,0
Zenaida macroura,0,1,7,1,1,0,0,14
Ara macao,0,52,30,0,0,0,1,0
Geococcyx californianus,0,0,0,0,0,0,1,0
Otus cf. asio,0,0,0,1,0,0,0,0
O. cf. asio or O. flammeolus,0,0,2,0,0,0,0,0
Asio cf. flammeus ,0,0,1,0,0,0,0,0
A. otus or A. flammeus,0,0,0,1,0,0,0,1
Strigiformes,0,2,2,1,0,2,0,1
Colaptes auratus ,0,2,2,0,0,3,0,1
Sphyrapicus cf. varius ,0,0,0,0,0,0,0,1
Dendrocopos villosus ,0,0,0,0,0,0,0,1
Picidae,0,0,1,0,0,0,0,1
?Petrochelidon pyrrhonota,0,0,0,0,28,0,0,0
Hirundinidae,0,0,0,2,5,1,0,1
Aphelocoma cf. coerulescens,0,0,0,0,0,1,0,0
Cyanocitta cf. stelleri,0,1,0,0,0,0,0,1
Garrulinae,0,0,4,0,0,1,0,4
Corvus corax,3,9,34,4,6,8,19,24
Corvus cryptoleucus ,1,2,3,1,2,1,3,3
Corvus brachyrhynchos,0,0,2,1,0,2,3,5
Corvus spp. ,1,1,5,2,1,0,1,2
?Nucifraga columbiana ,0,0,0,0,2,0,0,0
Sturnella sp. ,0,0,0,0,1,0,0,0
