Sample ID,d13Cc,d13Ca
AH11,-7.2,-0.3
AH12,-8,-1.1
AH13,-8.5,-1.4
AH14,-7.4,-1.3
AH15,-8.4,-2.2
AH16,-9,-1.0
AH17,-7.5,-1.1
AH18,-8.7,-1.3
AH19,-7,-0.8
AH20,-7.3,-2.2
AH21,-7.6,-1.9
AH22,-7.8,-1.8
AH23,-7.2,-1.4
AH24,-6.8,-0.9
AH25,-7.9,-0.8
AH26,-11.5,-3.0
AH27,-8.3,-2.0
AH28,-7.7,-1.7
AH29,-7.4,-1.1
AH30,-8.6,-2.6
AH31,-8,-2.6
AH32,-9.5,-3.0
AH33,-7.4,-2.0
AH34,-7.8,-1.1
AH35,-9.5,-2.2
AH36,-7.4,-1.0
AH37,-8.6,-1.3
AH38,-8.3,-1.7
AH39,-7.6,-1.7
AH40,-16.8,-10.0
AH41,-7.2,-1.0
AH42,-7.9,-2.3
AH43,-9.4,-3.3
AH44,-7.5,-1.0
AH45,-7.1,-2.0
AH46,-11.8,-3.1
AH47,-10.4,-3.1
AH48,-7.4,-1.6
AH49,-7.3,-2.5
AH50,-8.1,-2.3
AH51,-7.2,-0.4
AH52,-8.3,-0.9
AH53,-8,-2.0
AH54,-7.4,-1.2
AH55,-7.9,-1.7
AH56,-7.4,-1.2
AH57,-15.7,-8.4
AH58,-9.1,-2.7
AH59,-8.2,-1.5
AH60,-7.5,-1.8
AH61,-7.2,-0.9
AH62,-7,-1.4
AH63,-7.7,-1.5
AH64,-7.5,-0.9
AH65,-8,-1.2
AH66,-6.6,-1.7
AH67,-6.7,-1.7
AH68,-7.4,-2.1
AH69,-8,-1.5
AH70,-8.7,-2.9
AH71,-7.9,-1.7
AH72,-8.5,-2.1
AH73,-7.9,-1.9
AH74,-7.6,-0.4
AH75,-6.7,-0.5
AH76,-7.1,-1.4
AH77,-7.4,-0.8
AH78,-8,-0.9
AH79,-7,-0.6
AH80,-6.7,-0.4
AH81,-7.4,-0.4
AH82,-8.2,-1.5
AH83,-8.4,-1.1
AH84,-16.2,-9.9
AH86,-7.4,-0.8
AH87,-8.1,-2.0
AH88,-7.8,-1.1
AH89,-8.4,-1.2
AH90,-7.1,-0.7
